Bibliographic,,,,,,,,,,,,,,
ID,Author,Data point,Site name(s),"Type(s) of SMM

Reserve, Park, MEABR, MPA, Multiple use MPA, National protected asset",Seasonality of SMM,Age of SMM (years) (establishment-completed data collection),Size of SMM (ha),Description of location,Latitude,Longitude,Management information (fishing),Management information (excluding fishing),Governance,Study environment
#37,Lopez 2024,4,Unspecified / not named,TURF,N/A,N/A,N/A,South Mediterranean District (MED),Between 33°S-37°S,Not given,Intermediate harvest,N/A,"Artisanal fishers, Government",Benthic
#37,Lopez 2024,5,Unspecified / not named,TURF,N/A,N/A,N/A,Meridional District (MD),Between 37°S-42°S,Not given,Intermediate harvest,N/A,"Artisanal fishers, Government",Benthic
#37,Lopez 2024,6,Unspecified / not named,TURF,N/A,N/A,N/A,Meridional District (MD),Between 37°S-42°S,Not given,Intermediate harvest,N/A,"Artisanal fishers, Government",Benthic
#37,Lopez 2024,7,Unspecified / not named,TURF,N/A,N/A,N/A,South Meridional District (MD),Between 37°S-42°S,Not given,Intermediate harvest,N/A,"Artisanal fishers, Government",Benthic
#23,Contreras-Drey 2024,1,Las Cruces,MPA,N/A,N/A,N/A,"Las Cruces, Valparaiso region",Not given,Not given,No-take,N/A,Pontificia Universidad Catolica de Chile ,Coastal
#23,Contreras-Drey 2024,2,Maitencillo,TURF,N/A,N/A,N/A,Valparaiso region,Not given,Not given,N/A,N/A,N/A,Coastal
#23,Contreras-Drey 2024,3,El Quisco,TURF,N/A,N/A,N/A,Valparaiso region,Not given,Not given,N/A,N/A,N/A,Coastal
#23,Contreras-Drey 2024,4,Valparaiso,TURF,N/A,N/A,N/A,Valparaiso region,Not given,Not given,N/A,N/A,N/A,Coastal
#23,Contreras-Drey 2024,5,Quintero,TURF,N/A,N/A,N/A,Valparaiso region,Not given,Not given,N/A,N/A,N/A,Coastal
#23,Contreras-Drey 2024,6,Las Cruces,TURF,N/A,N/A,N/A,Valparaiso region,Not given,Not given,N/A,N/A,N/A,Coastal
#23,Contreras-Drey 2024,7,Unspecified / not named,TURF,N/A,N/A,N/A,Valparaiso region,Not given,Not given,N/A,N/A,N/A,Coastal
#23,Contreras-Drey 2024,8,Unspecified / not named,TURF,N/A,N/A,N/A,Valparaiso region,Not given,Not given,N/A,N/A,N/A,Coastal
#23,Contreras-Drey 2024,9, Las Cruces,TURF,N/A,N/A,N/A,Tarapaca Region,Not given,Not given,N/A,N/A,N/A,Coastal
#23,Contreras-Drey 2024,10, Las Cruces,TURF,N/A,N/A,N/A,Tarapaca Region,Not given,Not given,N/A,N/A,N/A,Coastal
#23,Contreras-Drey 2024,11, Las Cruces,TURF,N/A,N/A,N/A,Tarapaca Region,Not given,Not given,N/A,N/A,N/A,Coastal
#23,Contreras-Drey 2024,12, Las Cruces,TURF,N/A,N/A,N/A,Tarapaca Region,Not given,Not given,N/A,N/A,N/A,Coastal
#174,Chaverra 2019,1,Estación Costera de Investigaciones Marinas (ECIM),No-take MPA,N/A,33,10ha,Las Cruces,,,,,,
#174,Chaverra 2019,2,El Quisco,TURF,N/A,22,N/A,El Quisco,,,,,Fishermen's Union,
#370,Loot 2008,1,Las Cruces (ECIM),No-take MPA,N/A,20,N/A,Las Cruces,33°31? S, 71°38? W,No-take,N/A,N/A,Inshore
#402,Loot 2005,1,Las Cruces (ECIM),No-take MPA,N/A,20,N/A,Las Cruces,33°31? S, 71°38? W,No-take,N/A,Pontificia Universidad Católica de Chile,Inshore
#402,Loot 2005,2,Caleta El Quisco,MEA,N/A,N/A,N/A,Caleta El Quisco,33° 23? S,71° 42? W,Regulated catch sizes and amounts,N/A,Fishers,Inshore
#295,Friedlander 2013,1,Motu Motiro Hiva Marine Park,No-take MPA,N/A,1,15000000 ha,Salas y Gomez Island,N/A,N/A,No-take,N/A,Government,Benthic
#292,Wood 2013,1,Las Cruces ,No-take MPA,N/A,26,20ha,Las Cruces,N/A,N/A,No-take,Closed to public,Artisanal fishers,N/A
#292,Wood 2013,2,Caleto El Quisco,MEABR,N/A,17,186ha,Caleto El Quisco,N/A,N/A,Territorial user rights,N/A,Artisanal fishers,N/A
#292,Wood 2013,3,Caleto Algaeeobo,MEABR,N/A,11,250ha,Caleto Algaeeobo,N/A,N/A,Territorial user rights,N/A,Artisanal fishers,N/A
#192,AlonsoVega 2018,1,Talquilla,MEABR,N/A,N/A,N/A,Talquilla,30º50’S, 71º41’W,N/A,N/A,Fishery Associations,Intertidal
#192,AlonsoVega 2018,2,Lagunillas,MEABR,N/A,N/A,N/A,Lagunillas,30º01’’S,71º23’’W,N/A,N/A,Fishery Associations,Intertidal
#272,Aldana 2014,1,Quintay,MEABR,N/A,16,162 ha ,Quintay,33°10?S,71°41?W,N/A,N/A,Fishers,Intertidal
#272,Aldana 2014,2,El Quisco,MEABR,N/A,16,344 ha,El Quisco,33°23?S,71°42?W,N/A,N/A,Fishers,Intertidal
#272,Aldana 2014,3,Las Cruces,MEABR,N/A,16,85 ha,Las Cruces,33°18?S,71°38?W,N/A,N/A,Fishers,Intertidal
#395,Avendaño 2005,1,La Rinconada Marine Reserve,Marine reserve,N/A,N/A,N/A,"La Rinconada, Antofagasta Bay",23º28?S,70º30?W,N/A,N/A,Government,N/A
#233,Aldana 2016,1,"Playa Chica, Quintay",MEABR,N/A,N/A,N/A,Quintay,33°11?S,71°1?W,N/A,N/A,N/A,Intertidal
#15,Avendano 2025,1,La Rinconada Marine Reserve,Marine reserve,N/A,16,300 ha,"La Rinconada, Antofagasta Bay",23º28?S,70º30?W,N/A,N/A,Government,N/A
#446,ZAMORANO 1995,1,Mehuin Marine Reserve,Marine reserve,N/A,12,N/A,Mehuin,"39"" 24' S","73"" 13'",N/A,N/A,Universidad Austral de Chile,Intertidal
#219,Blanco 2017,1,Maitencillo,TURF,N/A,N/A,N/A,Maitencillo,"Between 32.61°S and
33.50°S",N/A,N/A,N/A,N/A,Coastal
#219,Blanco 2017,2,Laguna Verde,TURF,N/A,N/A,N/A,Laguna Verde,"Between 32.61°S and
33.50°S",N/A,N/A,N/A,N/A,Coastal
#219,Blanco 2017,3,Quintay,TURF,N/A,N/A,N/A,Quintay,"Between 32.61°S and
33.50°S",N/A,N/A,N/A,N/A,Coastal
#219,Blanco 2017,4,El Quisco,TURF,N/A,N/A,N/A,El Quisco,"Between 32.61°S and
33.50°S",N/A,N/A,N/A,N/A,Coastal
#155,Fernandez 2020,1,Chungungo (Temblador),TURF,N/A,N/A,N/A,Chungungo,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,2,Chungungo (Sector D),TURF,N/A,N/A,N/A,Chungungo,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,3,Chungungo E,TURF,N/A,N/A,N/A,Chungungo,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,4,Hornos (Sector B),TURF,N/A,N/A,N/A,Hornos,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,5,Hornos ,TURF,N/A,N/A,N/A,Hornos,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,6,Huentelauquen ,TURF,N/A,N/A,N/A,Huentelauquen ,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,7,Chigualoco ,TURF,N/A,N/A,N/A,Chigualoco ,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,8,Chigualoco (Boca del Barco),TURF,N/A,N/A,N/A,Chigualoco ,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,9,Chigualoco (Chepiquilla),TURF,N/A,N/A,N/A,Chigualoco ,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,10,San Pedro (Nague B),TURF,N/A,N/A,N/A,San Pedro,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,11,San Pedro (Nague),TURF,N/A,N/A,N/A,San Pedro,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,12,Las Conchas (Sector C Lvlc),TURF,N/A,N/A,N/A,Las Conchas,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,13,Pichidangui ,TURF,N/A,N/A,N/A,Pichidangui ,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,14,Los Molles (Playa Los Molles),TURF,N/A,N/A,N/A,Los Molles,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,15,Los Molles,TURF,N/A,N/A,N/A,Los Molles,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,16,Pichicuy,TURF,N/A,N/A,N/A,Pichicuy,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,17,Papudo,TURF,N/A,N/A,N/A,Papudo,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,18,Papudo (Punta Pite),TURF,N/A,N/A,N/A,Papudo,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,19,Horcon,TURF,N/A,N/A,N/A,Horcon,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,20,Quintay (Sector B Qui),TURF,N/A,N/A,N/A,Quintay,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,21,Quintay (Sector A Qui),TURF,N/A,N/A,N/A,Quintay,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,22,Algarrobo (Sector C Alg),TURF,N/A,N/A,N/A,Algarrobo,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#155,Fernandez 2020,23,Algarrobo (Sector A Alg),TURF,N/A,N/A,N/A,Algarrobo,"Between 
29°27’S and 33°22’S",N/A,"Annual quotas, Temporary reproductive ban, Minimum legal size",N/A,Fishers,Coastal
#4,Perez-Matus 2025,1,Unspecified / not named,TURF,N/A,N/A,N/A,Northern coast,27°S,N/A,N/A,N/A,Fishers,Subtidal
#4,Perez-Matus 2025,2,Unspecified / not named,TURF,N/A,N/A,N/A,Northern-central coast,29°S,N/A,N/A,N/A,Fishers,Subtidal
#4,Perez-Matus 2025,3,Unspecified / not named,TURF,N/A,N/A,N/A,Central coast,32°S,N/A,N/A,N/A,Fishers,Subtidal
#85,Hamame 2022,1,Guaitecas,MEABR,N/A,N/A,N/A,"Melinka Cove, Las Guaitecas achipelago",43.9°S,N/A,N/A,N/A,Artisanal fishers,N/A
#85,Hamame 2022,2,Guaitecas,MEABR,N/A,N/A,N/A,"Melinka Cove, Las Guaitecas achipelago",43.9°S,N/A,N/A,N/A,Artisanal fishers,N/A
#85,Hamame 2022,3,Guaitecas,MEABR,N/A,N/A,N/A,"Puerto Gala Cove, Moraleda Channel",44.2?S,N/A,N/A,N/A,Artisanal fishers,N/A
#85,Hamame 2022,4,Guaitecas,MEABR,N/A,N/A,N/A,"Puerto Gala Cove, Moraleda Channel",44.2?S,N/A,N/A,N/A,Artisanal fishers,N/A
#85,Hamame 2022,5,Huichas,MEABR,N/A,N/A,N/A,"Puerto Aguirre Cove, Moraleda Channel",45.2?S,N/A,N/A,N/A,Artisanal fishers,N/A
