Bibliography,,,,,,,,,
Title,Authors,Journal,Volume,Issue,Page,DOI,Year,Covidence ID,Author / Year 
Evidence of clandestine harvest and failure of conservation policies for Argopecten purpuratus in the Rinconada Marine Reserve (Chile),"Avendano, Miguel; Cantillanez, Marcela; Thouzeau, Gerard",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,27,3,588-603,10.1002/aqc.2721,2017,#216,Avendano 2017
The Decreasing Availability of Settlement Surfaces Affects the Transition From Larvae to Early Recruitment of the Scallop Argopecten purpuratus Through El Nina and La Nina Episodes,"Avendano, Miguel; Cantillanez, Marcela; Riascos, Jose M.",FRONTIERS IN MARINE SCIENCE,6,,,"
10.3389/fmars.2019.00630",2019,#161,Avendano 2019
"Argopecten purpuratus (Mollusca, Pectinidae) post-El Nino 1997-98 response in La Rinconada Marine Reserve (Antofagasta, Chile)","Avendano, Miguel; Cantillanez, Marcela",LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,50,2,168-180,"
10.3856/vol50-issue2-fulltext-2776",2022,#76 ,Avendano 2022
"Changes in the distribution density of locate, Thaisella chocolata (Duclos, 1832) (Gastropoda, Thaididae) as an indicator for predicting their reproductive events","Avendano, Miguel; Cantillanez, Marcela; Oliva, Marcelo; Gonzalez, Maria",LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH ,51,2,238-247,10.3856/vol51-issue2-fulltext-2985,2023,#62,Avendano 2023
"Implementation of seed collection programs for the recovery of Argopecten purpuratus populations in the La Rinconada marine reserve (Antofagasta, Chile)","Avenda√±o, M.; Cantill√°nez, M.; Gonz√°lez, J.E.",Aquatic Conservation: Marine and Freshwater Ecosystems ,33,2,215-225,10.1002/aqc.3910,2023,#503,AvendaÒo 2023
"Biophysical performance indicators for secondary resources reveal positive effects at the community level in La Rinconada Marine Reserve (Antofagasta, Chile), SE Pacific Ocean","Avendano, Miguel; Cantillanez, Marcela",LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH ,53,2,299-313,10.3856/vol53-issue2-fulltext-3287,2025,#15,Avendano 2025
Drivers and trends in catch of benthic resources in Chilean TURFs and surrounding open access areas,"Beckensteiner, Jennifer; Scheld, Andrew M.; Fernandez, Miriam; Kaplan, David M.",OCEAN & COASTAL MANAGEMENT ,183,,,10.1016/j.ocecoaman.2019.104961,2020,#151,Beckensteiner 2020
Potential Synergies between Nature-Based Tourism and Sustainable Use of Marine Resources: Insights from Dive Tourism in Territorial User Rights for Fisheries in Chile,"Biggs, Duan; Amar, Francisca; Valdebenito, Abel; Gelcich, Stefan",PLOS ONE,11,3,,"
10.1371/journal.pone.0148862",2016,#242,Biggs 2016
Egg production patterns of two invertebrate species in rocky subtidal areas under different fishing regimes along the coast of central Chile,"Blanco, Marta; Ospina-Alvarez, Andres; Gonzalez, Catherine; Fernandez, Miriam",PLOS ONE,12,5,,10.1371/journal.pone.0176758,2017,#219,Blanco 2017
Marine conservation may not deliver ecosystem services and benefits to all: Insights from Chilean Patagonia,"Brain, M. J.; Nahuelhual, L.; Gelcich, S.; Bozzeda, F.",ECOSYSTEM SERVICES ,45,,,10.1016/j.ecoser.2020.101170,2020,#129,Brain 2020
"Reproductive cycle of Argopecten purpuratus (Bivalvia: Pectinidae) in La Rinconada marine reserve (Antofagasta, chile): Response to environmental effects of El Nino and La Nina","Cantillanez, M; Avenda√±o, M; Thouzeau, G; Le Pennec, M",AQUACULTURE,246,1,181-195,10.1016/j.aquaculture.2004.12.031,2005,#397,Cantillanez 2005
"Interactions Between Spatially Explicit Conservation and Management Measures: Implications for the Governance of Marine Protected Areas
","Carcamo, P. Francisco; Gaymer, Carlos F.",ENVIRONMENTAL MANAGEMENT,52,6,1355-1368,10.1007/s00267-013-0167-9,2013,#283,Carcamo 2013
Are southern elephant seals re-invading mid-latitude grounds? New sightings and first birth records off the Chilean Coast,"Carcamo, Daniel; Pizarro, Marlene; Orellana, Muriel; Munoz, Lily; Pavez, Guido; Sepulveda, Maritza; Rene Duran, L.; Oliva, Doris",POLAR BIOLOGY,42,2,433-440,10.1007/s00300-018-2433-z,2019,#176 ,Carcamo 2019
"Recovery of Durvillaea antarctica (Durvilleales) inside and outside Las Cruces marine reserve, Chile","Silva, Marcela Cantillanez; Thouzeau, Gerard; Avendano, Miguel",ECOLOGICAL APPLICATIONS,17,5,,10.1890/06-1285.1,2007,#378,Castilla 2007
Can the territorial use rights in fisheries (TURF) stabilize the landings of a highly variable benthic resource? Reexamining the fishery of Concholepas concholepas in North-Central Chile,"Cerda, Osvaldo; Stotz, Wolfgang B.",OCEAN & COASTAL MANAGEMENT,224,,,10.1016/j.ocecoaman.2022.106158,2022,#78,Cerda 2022
"Removal of intertidal grazers by human harvesting leads to alteration of species interactions, community structure and resilience to climate change","Chaverra, Ana; Wieters, Evie; Foggo, Andy; Knights, Antony M.",MARINE ENVIRONMENTAL RESEARCH,146,,57-65,10.1016/j.marenvres.2019.03.003,2019,#174,Chaverra 2019
Managing and defending the commons: Experimental evidence from TURFs in Chile,"Chavez, Carlos A.; Murphy, James J.; Stranlund, John K.",JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,91,,229-246,10.1016/j.jeem.2018.07.004,2018,#187,Chavez 2018
The endogenous formation of common pool resource coalitions,"Ch√°vez, C.A.; Murphy, J.J.; Quezada, F.J.; Stranlund, J.K.",Journal of Economic Behavior and Organization,211,,82-102,10.1016/j.jebo.2023.04.028,2023,#501,Ch·vez 2023
Escape behavior of rocky-reef fish reveals the impact of spearfishing across different management regimes,"Contreras-Drey, Francisco J.; Godoy, Natalio; Smith, Andres; Rezende, Enrico L.; Perez-Matus, Alejandro; Estevez, Rodrigo A.; Beldade, Ricardo; Ojeda, F. Patricio; Gelcich, Stefan",ECOSPHERE,15,11,, 10.1002/ecs2.70056,2024,#23,Contreras-Drey 2024
Effects of human activity on the structure of coastal marine bird assemblages in central Chile,"Cornelius, C; Navarrete, SA; Marquet, PA",CONSERVATION BIOLOGY ,15,5,1396-1404,10.1046/j.1523-1739.2001.00163.x,2001,#416,Cornelius 2001
The Importance of Interplay Between Leadership and Social Capital in Shaping Outcomes of Rights-Based Fisheries Governance,"Crona, Beatrice; Gelcich, Stefan; Bodin, Orjan",WORLD DEVELOPMENT ,,,,,2017,#225,Crona 2017
OVER-EXPLOITATION OF PYURA-CHILENSIS (ASCIDIACEA) IN SOUTHERN CHILE - THE URGENT NEED TO ESTABLISH MARINE RESERVES,"DAVIS, AR",REVISTA CHILENA DE HISTORIA NATURAL,68,1,107-116,,1995,#450,DAVIS 1995
Why are Fishers not Enforcing Their Marine User Rights?,"Davis, Katrina J.; Kragt, Marit E.; Gelcich, Stefan; Burton, Michael; Schilizzi, Steven; Pannell, David J.",ENVIRONMENTAL & RESOURCE ECONOMICS,67,4,661-681,10.1007/s10640-015-9992-z,2017,#214,Davis 2017
Applying an ecosystem service approach to unravel links between ecosystems and society in the coast of central Chile,"de Juan, Silvia; Gelcich, Stefan; Ospina-Alvarez, Andres; Perez-Matus, Alejandro; Fernandez, Miriam",SCIENCE OF THE TOTAL ENVIRONMENT,533,,122-132,10.1016/j.scitotenv.2015.06.094,2015,#255,deJuan 2015
"Effect of immersion time of cultch on spatfall of the scallop Argopecten purpuratus (Lamarck 1819) in the Marine Reserve at La Riconada, Antofagasta, Chile","Gelcich, Stefan; Edwards-Jones, Gareth; Kaiser, Michel J.",AQUACULTURE INTERNATIONAL,14,3,267-283,10.1007/s10499-005-9033-y,2006,#389,Diaz 2006
"Native avian predators for the world's Black-browed Albatross (Thalassarche melanophrys) breeding colony in inner waters of Tierra del Fuego, Chile","Droguett, Daniela; Arredondo, Cristobal; Dougnac, Catherine; Kusch, Alejandro; Montiel, Americo; Vila, Alejandro",POLAR BIOLOGY,46,1,77-85,10.1007/s00300-022-03107-3,2023,#68,Droguett 2023
"Long-term changes in population density of Fissurella picta and Fissurella limbata (Gastropoda) in the marine reserve of Mehuin, Chile","Duarte, WE; Asencio, G; Moreno, CA",REVISTA CHILENA DE HISTORIA NATURAL,69,1,45-56,,1996,#445,Duarte 1996
Moving Beyond Co-Management: Opportunities and Limitations for Enabling Transitions to Polycentric Governance in Chile's Territorial User Rights in Fisheries Policy,"Ebel, Sarah A.",INTERNATIONAL JOURNAL OF THE COMMONS,14,1,278-295,"
10.5334/ijc.998",2020,#154,Ebel 2020
Recruitment of Homalaspis plana in intertidal habitats of central Chile and implications for the current use of Management and Marine Protected Areas,"Fern√°ndez, M; Castilla, JC",MARINE ECOLOGY PROGRESS SERIES,208,,157-170,10.3354/meps208157,2000,#426,Fern·ndez 2000
Reproductive output of two benthic resources (Fissurella latimarginata and Loxechinus albus) under different management regimes along the coast of central Chile,"Fernandez, Miriam; Blanco, Marta; Ruano-Chamorro, Cristina; Dulce Subida, Maria",LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH ,45,2,391-402,10.3856/vol45-issue2-fulltext-14,2017,#222,Fernandez 2017
Evidence of illegal catch in the benthic artisanal fisheries of central Chile: patterns across species and management regimes,"Fernandez, Miriam; Kriegl, Michael; Garmendia, Vladimir; Aguilar, Ainara; Dulce Subida, Maria",LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,48,2,287-303,"
10.3856/vol48-issue2-fulltext-2475",2020,#155,Fernandez 2020
Advances and challenges in marine conservation in Chile: A regional and global comparison,"Fernandez, Miriam; Rodriguez-Ruiz, Montserrat; Gelcich, Stefan; Hiriart-Bertrand, Luciano; Carlos Castilla, Juan",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,31,7,1760-1771,10.1002/aqc.3570,2021,#109,Fernandez 2021
Opportunities and constraints of the institutional framework for the implementation of ecosystem-based management: The case of the Chilean coast,"Francisco Carcamo, P.; Garay-Fluehmann, Rosa; Gaymer, Carlos F.",OCEAN & COASTAL MANAGEMENT,84,,193-203,10.1016/j.ocecoaman.2013.08.003,2013,#288 ,FranciscoCarcamo 2013
