Bibliography,,,,,,,,,
Title,Authors,Journal,Volume,Issue,Page,DOI,Year,Covidence ID,Author / Year 
Butyltin contamination in Northern Chilean coast: Is there a potential risk for consumers?,"Mattos, Yasna; Stotz, Wolfgang B.; Romero, Maria Soledad; Bravo, Manuel; Fillmann, Gilberto; Castro, Italo B.",SCIENCE OF THE TOTAL ENVIRONMENT,595,,209-217,10.1016/j.scitotenv.2017.03.264,2017,#210,Mattos 2017
Spatial and temporal variability in subtidal macroinvertebrates diversity patterns in a management and exploitation area for benthic resources (MEABRs),"Molina, Pilar; Patricio Ojeda, F.; Aldana, Marcela; Pulgar, V. M.; Roberto Garcia-Huidobro, M.; Pulgar, Jose",OCEAN & COASTAL MANAGEMENT ,93,,121-128,10.1016/j.ocecoaman.2014.03.005,2014,#274,Molina 2014
Exploring biodiversity patterns in a marine and coastal protected area: Implications for management within and outside MCPAs,"Molinet, C.; Díaz, M.; González, A.; Henríquez, J.; Matamala, T.; Boldt, J.; Brito, N.; Espinoza, K.; Lafón, A.; Merino, P.; Parra, R.; Raimilla, V.; Salgado, C.; Valencia, J.; Soto, D.","Estuarine, Coastal and Shelf Science",294,,,10.1016/j.ecss.2023.108540,2023,#496,Molinet 2023
"Population trends for humpback whales (Megaptera novaeangliae) foraging in the Francisco Coloane Coastal-Marine Protected Area, Magellan Strait, Chile","Monnahan, Cole C.; Acevedo, Jorge; Noble Hendrix, A.; Gende, Scott; Aguayo-Lobo, Anelio; Martinez, Francisco",MARINE MAMMAL SCIENCE,35,4,1212-1231,10.1111/mms.12582,2019,#164,Monnahan 2019
"Residential movements of top predators in Chile's most isolated marine protected area: Implications for the conservation of the Galapagos shark, Carcharhinus galapagensis, and the yellowtail amberjack, Seriola lalandi","Morales, Naiti A.; Heidemeyer, Maike; Bauer, Robert; Hernandez, Sebastian; Acuna, Enzo; Friedlander, Alan M.; Gaymer, Carlos F.",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,31,2,340-355,10.1002/aqc.3472,2021,#119,Morales 2021
THE RESPONSE OF AN INTERTIDAL CONCHOLEPAS-CONCHOLEPAS (GASTROPODA) POPULATION TO PROTECTION FROM MAN IN SOUTHERN CHILE AND THE EFFECTS ON BENTHIC SESSILE ASSEMBLAGES,"MORENO, CA; LUNECKE, KM; LEPEZ, MI",OIKOS ,46,3,359-364,10.2307/3565835,1986,#464,MORENO 1986
Settlement of the muricid Concholepas concholepas and its relationship with El Nino and coastal upwellings in southern Chile,"Moreno, CA; Asencio, G; Duarte, WE; Marin, V",MARINE ECOLOGY PROGRESS SERIES,167,,171-175,10.3354/meps167171,1998,#440,Moreno 1998
"The Roles of Alpha, Beta, and Functional Diversity Indices in the Ecological Connectivity between Two Sub-Antarctic Macrobenthic Assemblages.","Nykol, Jara; Americo, Montiel; Benjamin, Caceres",Diversity-Basel,16,7,Jan-20,10.3390/d16070430,2024,#30,Nykol 2024
Identifying keystone trophic groups in benthic ecosystems: Implications for fisheries management,"Ortiz, Marco; Levins, Richard; Campos, Leonardo; Berrios, Fernando; Campos, Fernando; Jordan, Ferenc; Hermosillo, Brenda; Gonzalez, Jorge; Rodriguez, Fabian",ECOLOGICAL INDICATORS,25,,133-140,10.1016/j.ecolind.2012.08.020,2013,#302,Ortiz 2013
Integration of biophysical connectivity in the spatial optimization of coastal ecosystem services,"Ospina-Alvarez, Andres; de Juan, Silvia; Davis, Katrina J.; Gonzalez, Catherine; Fernandez, Miriam; Navarrete, Sergio A.",SCIENCE OF THE TOTAL ENVIRONMENT,733,,,10.1016/j.scitotenv.2020.139367,2020,#135,Ospina-Alvarez 2020
Establishing marine protected areas through bottom-up processes: insights from two contrasting initiatives in Chile,"Oyanedel, Rodrigo; Marin, Andres; Carlos Castilla, Juan; Gelcich, Stefan",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,26,1,184-195,10.1002/aqc.2546,2016,#246,Oyanedel 2016
Illegal fishing and territorial user rights in Chile,"Oyanedel, Rodrigo; Keim, Andres; Carlos Castilla, Juan; Gelcich, Stefan",CONSERVATION BIOLOGY,32,3,619-627,10.1111/cobi.13048,2018,#191,Oyanedel 2018
Exploring the effects of fishing pressure and upwelling intensity over subtidal kelp forest communities in Central Chile,"Perez-Matus, Alejandro; Carrasco, Sergio A.; Gelcich, Stefan; Fernandez, Miriam; Wieters, Evie A.",ECOSPHERE,8,5,,"
10.1002/ecs2.1808",2017,#223,Perez-Matus 2017
Management regime influences the recovery of subtidal kelp forests following harvesting,"Perez-Matus, Alejandro; Munoz-Cordovez, Rodrigo; Ruz, Catalina S.; Gonzalez-Alonso-de-Linaje, Camila; Sinuela, Juan Pablo; Earp, Hannah S.; Gouraguine, Adam; Hinostroza, Diego; Gamarra, Alex; Uribe, Roberto A.; Smale, Dan A.; Burrows, Michael T.; Gelcich, Stefan; Faugeron, Sylvain; Valdivia, Nelson; Moore, Pippa J.",JOURNAL OF APPLIED ECOLOGY,62,10,2676-2687,"
10.1111/1365-2664.70134",2025,#4,Perez-Matus 2025
Protected areas in Chile: are we managing them?,"Petit, Ignacio J.; Campoy, Ana N.; Hevia, Maria-Jose; Gaymer, Carlos F.; Squeo, Francisco A.",REVISTA CHILENA DE HISTORIA NATURAL,91,,,10.1186/s40693-018-0071-z,2018,#198,Petit 2018
Depth as a fish refuge from spearfishing at Rapa Nui: Flight behaviour in the Pacific rudderfish Kyphosus sandwicensis,"Petit, Ignacio J.; Gaymer, Carlos F.; Friedlander, Alan M.; Gusmao, Joao B.",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,32,5,727-740,10.1002/aqc.3795,2022,#79,Petit 2022
Temporal changes in seabird assemblage structure and trait diversity in the Rapa Nui (Easter Island) multiple-use marine protected area,"Plaza, Paula; Serratosa, Juan; Gusmao, Joao B.; Duffy, David C.; Arce, Paulina; Luna-Jorquera, Guillermo",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,31,2,378-388,10.1002/aqc.3501,2021,#120,Plaza 2021
Fishing for social realities -: Challenges to sustainable fisheries management in the Cape Horn Biosphere Reserve,"Gelcich, Stefan; Kaiser, Michel J.; Castilla, Juan Carlos; Edwards-Jones, Gareth",MARINE POLICY,32,2,233-242,10.1016/j.marpol.2007.09.013,2008,#369,Pollack 2008
A Framework for Estimating the Impact of Monitoring and Enforcement on (Unobserved) Illicit Extraction,"Quezada, Felipe J.; Chan, Nathan W.",ENVIRONMENTAL & RESOURCE ECONOMICS,84,2,627-647,10.1007/s10640-022-00740-8,2023,#71,Quezada 2023
Population Trends of a Mixed-Species Colony of Humboldt and Magellanic Penguins in Southern Chile after Establishing a Protected Area.,"Reyes-Arriagada, Ronnie; Hiriart-Bertrand, Luciano; Riquelme, Victoria; Simeone, Alejandro; Puetz, Klemens; Luethi, Benno; Raya Rey, Andrea",Avian Conservation and Ecology,8,2,402-411,10.5751/ACE-00617-080213,2013,#286,Reyes-Arriagada 2013
Can a Territorial Use Right for Fisheries management make a difference for fishing communities?,"Romero, Pedro; Melo, Oscar",MARINE POLICY,124,,,10.1016/j.marpol.2020.104359,2021,#113,Romero 2021
Artisanal Fisher Association Leaders' Estimates of Poaching in Their Exclusive Access Management Areas,"Romero, Pedro; Estevez, Rodrigo A.; Romero, Pablo; Gelcich, Stefan",FRONTIERS IN MARINE SCIENCE,8,,,10.3389/fmars.2021.796518,2022,#86,Romero 2022
"Does the Chilean TURFs achieve the sustainability of its fisheries? Evaluation of its performance considering the administrative, biological, and economic dimensions of this fisheries regime.","Romero, Pedro; Bularz, Bryan; Arenas-Proano, Gabriela; Moreno, Daniel",Frontiers in Marine Science,12,,,10.3389/fmars.2025.1502422,2025,#12,Romero 2025
Effect of social networks on the economic performance of TURFs: The case of the artisanal fishermen organizations in Southern Chile,"Rosas, Juan; Dresdner, Jorge; Chavez, Carlos; Quiroga, Miguel",OCEAN & COASTAL MANAGEMENT,88,,43-52,10.1016/j.ocecoaman.2013.11.012,2014,#279,Rosas 2014
Fishers' perception: An alternative source of information to assess the data-poor benthic small-scale artisanal fisheries of central Chile,"Ruano-Chamorro, Cristina; Dulce Subida, Maria; Fernandez, Miriam",OCEAN & COASTAL MANAGEMENT,146,,67-76,10.1016/j.ocecoaman.2017.06.007,2017,#213,Ruano-Chamorro 2017
Evaluating the effects of management regime on the recovery process of Lessonia trabeculata to harvesting,"Ruz, Catalina S.; Moore, Pippa J.; Perez-Matus, Alejandro",JOURNAL OF APPLIED PHYCOLOGY,,,,10.1007/s10811-025-03727-2,2025,#1,Ruz 2025
Quota compliance in TURFs: An experimental analysis on complementarities of formal and informal enforcement with changes in abundance,"Santis, O.; Chávez, C.A.",Ecological Economics,120,,440-450,10.1016/j.ecolecon.2015.11.017,2015,#626,Santis 2015
"Presence, Behavior, and Resighting Pattern of Transient Bottlenose Dolphins (Tursiops truncatus) in the Humboldt Current System off North-Central Chile","Santos-Carvallo, Macarena; Sepulveda, Maritza; Moraga, Rodrigo; Landaeta, Mauricio F.; Oliva, Doris; Jose Perez-Alvarez, Maria",PACIFIC SCIENCE,72,1,41-56,10.2984/72.1.3,2018,#202,Santos-Carvallo 2018
"Explaining humpback whale' distribution and abundance in the Magellan Strait, Chile","Sapag, Catalina; Capella, Juan; Vilina, Yerko; van Langevelde, Frank",GLOBAL ECOLOGY AND CONSERVATION,62,,,10.1016/j.gecco.2025.e03856,2025,#2,Sapag 2025
Exploring determinants for the implementation of mixed TURF-aquaculture systems,"Sepulveda, Cristian; Rivera, Antonella; Gelcich, Stefan; Stotz, Wolfgang B.",SCIENCE OF THE TOTAL ENVIRONMENT,682,,310-317,10.1016/j.scitotenv.2019.05.076,2019,#170,Sepulveda 2019
Improving Argopecten purpuratus culture in northern Chile:: Results from the study of larval and post-larval stages in relation to environmental forcing,"Thompson, Myles H.; Dumont, Clement P.; Gaymer, Carlos F.",AQUACULTURE,272,04-Jan,423-443,10.1016/j.aquaculture.2007.07.211,2007,#377,Silva 2007
Towards the creation of an integrated system of protected areas in Chile: achievements and challenges,"Squeo, Francisco A.; Estevez, Rodrigo A.; Stoll, Alexandra; Gaymer, Carlos F.; Letelier, Luis; Sierralta, Leonel",PLANT ECOLOGY & DIVERSITY ,5,2,233-243,10.1080/17550874.2012.679012,2012,#322,Squeo 2012
"ECOLOGICAL EXPERIENCES AND PERCEPTIONS OF SMALL-SCALE GILLNET AND PURSE SEINE FISHERS ON SEABIRDS AND OTHER NON-TARGET TAXA IN THE HUMBOLDT CURRENT SYSTEM, CHILE","Diaz, Miguel Avendano; Silva, Marcela Cantillanez; Forner, Juan Pena",MARINE ORNITHOLOGY,47,8,771-777,10.1007/s00300-024-03269-2,2024,#39,Suazo 2024
Growth of Argopecten purpuratus (Mollusca: Bivalvia) on a natural bank in Northern Chile:: sclerochronological record and environmental controls,"Gelcich, Stefan; Godoy, Natalio; Prado, Luis; Castilla, Juan Carlos",AQUATIC LIVING RESOURCES,21,1,45-55,"
10.1051/alr:2008021",2008,#374,Thebault 2008
ISO 14001: Towards international quality environmental management standards for marine protected areas,"Thebault, Julien; Thouzeau, Gerard; Chauvaud, Laurent; Cantillanez, Marcela; Avendano, Miguel",OCEAN & COASTAL MANAGEMENT,51,11,727-739,10.1016/j.ocecoaman.2008.07.004,2008,#375,Thompson 2008
Situational crime analysis of poaching within Territorial Use Rights Fisheries (TURFs),"Vallejos, T.; Nahuelhual, L.; Gelcich, S.; Oyanedel, R.",Frontiers in Marine Science,11,,,10.3389/fmars.2024.1419800,2024,#490,Vallejos 2024
Marine protected areas facilitate parasite populations among four fished host species of central Chile,"Wood, Chelsea L.; Micheli, Fiorenza; Fernandez, Miriam; Gelcich, Stefan; Carlos Castilla, Juan; Carvajal, Juan",JOURNAL OF ANIMAL ECOLOGY,82,6,1276-1287,10.1111/1365-2656.12104,2013,#292,Wood 2013
"POSTSETTLEMENT MORTALITY IN PHRAGMATOPOMA-VIRGINI (POLYCHAETA, SABELLARIIDAE) AT THE MEHUIN-MARINE-RESERVE, CHILE","ZAMORANO, JH; MORENO, CA; DUARTE, WE",MARINE ECOLOGY PROGRESS SERIES,127,,149-155,10.3354/meps127149,1995,#446,ZAMORANO 1995
"Trace metal and biomarker levels in tissues of Argopecten purpuratus in the north of Chile, and the potential use of this species as a bioindicator of metallic stress","Zapata, Manuel; Lang, Marianne; Riso, Ricardo; Moraga, Dario; Riquelme, Carlos",AQUATIC LIVING RESOURCES,25,3,259-267,10.1051/alr/2012024,2012,#312,Zapata 2012
Assessing the Efficiency of the Marine Protected Area Systems in the Southeastern Pacific,"Zucconi, Mauro G.; Opazo, Felipe; Navarrete, Sergio A.",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,34,12,,10.1002/aqc.70032,2024,#18,Zucconi 2024
