Bibliographic,,,Study methods,,,,,,,,,,Study outcomes,,,,,,,,,Effect size,,Comparator (spatial),,,,Comparator (temporal),,,,,,Reviewer comments,,,,,
Covidence ID,Citation,Data point,Study focus,Outcome measure focus,Source of data,Data type,Primary data collection method,Primary data collection method,Primary data collection method,Secondary data type,Secondary data source,Secondary data source,Outcome category,Analysis,Outcome measure,Taxon,Species,Unit,Additional treatment variables,Demographic groups,Qualitative analysis,Statistical analysis of impacts,Statistical methods,Number of reference sites (MPA),Number of comparator sites (OA),Number of reference sites (TURF),Number of reference sites (MEABR),Study start date,Study end date,Study duration,Number of time intervals,Before / after study,BACI study,,,,,,
#445,Duarte 1996,4,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Size,Descriptive,Size,Keyhole limpet,Fissurella picta,mm,Wave exposure,N/A,N/A,No,N/A,1,0,0,0,1985,1993,8,6,No,No,,,,,,
#445,Duarte 1996,5,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Published literature,N/A,N/A,Predation,Descriptive,Occurence in predator diet,Keyhole limpet,Fissurella spp,%,N/A,N/A,N/A,No,N/A,1,5,0,0,N/A,N/A,N/A,1,No,No,,,,,,
#426,Fernández 2000,1,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Area,Descriptive,Suitable habitat area,Crab,Homalaspis plana,%,N/A,N/A,N/A,No,N/A,1,0,0,1,1996,1996,<1,1,No,No,,,,,,
#381,Avendano 2007,1,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Reproductive output,Descriptive,Gonadosomatic Index,Scallop,Argopecten purpuratus,GSI,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2003,2,42,No,No,,,,,,
#381,Avendano 2007,2,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Descriptive,Abundance,Scallop,Argopecten purpuratus,No. of individuals,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2009,8,4,No,No,,,,,,
#381,Avendano 2007,3,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Descriptive,Density,Scallop,Argopecten purpuratus,individuals/m2,Depth,N/A,N/A,No,N/A,1,0,0,0,2001,2009,8,4,No,No,,,,,,
#381,Avendano 2007,4,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Size,Descriptive,Shell length,Scallop,Argopecten purpuratus,mm,Depth,N/A,N/A,No,N/A,1,0,0,0,2001,2009,8,4,No,No,,,,,,
#381,Avendano 2007,5,Environmental,Environmental,Primary,Quantitative,Mark and recapture,Laboratory analysis,Cohort study,N/A,N/A,N/A,Population change,Inferential analysis,Growth rate,Scallop,Argopecten purpuratus,N/A,N/A,N/A,N/A,Yes,von Bertalanffy growth curve,1,0,0,0,2001,2002,1,N/A,No,No,,,,,,
#381,Avendano 2007,6,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Spat abundance,Scallop,Argopecten purpuratus,no./collector,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2003,2,N/A,No,No,,,,,,
#381,Avendano 2007,7,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Descriptive,Spat shell length,Scallop,Argopecten purpuratus,?m,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2003,2,N/A,No,No,,,,,,
#381,Avendano 2007,8,Environmental,Environmental,Primary,Quantitative,Mark and recapture,Laboratory analysis,Cohort study,N/A,N/A,N/A,Population change,Descriptive,Recruitment,Scallop,Argopecten purpuratus,no./collector,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2003,2,N/A,No,No,,,,,,
#62,Avendano 2023,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Descriptive,Density,Chocolate rock shell,Thaisella chocolata,individuals/m2,Depth,N/A,N/A,No,N/A,1,0,0,0,2009,2010,1,12,No,No,Spatial aggregation index is reported over time,,,,,
#62,Avendano 2023,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,N/A,N/A,N/A,N/A,N/A,Size,Descriptive,Size,Chocolate rock shell,Thaisella chocolata,mm,"Depth, sex",N/A,N/A,No,N/A,1,0,0,0,2008,2010,2,13,No,No,,,,,,
#62,Avendano 2023,3,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,N/A,N/A,N/A,N/A,N/A,Biomass,Descriptive,Weight,Chocolate rock shell,Thaisella chocolata,g,"Depth, sex",N/A,N/A,No,N/A,1,0,0,0,2008,2010,2,13,No,No,,,,,,
#389,Diaz 2006,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Density,Descriptive,Larvae density,Scallop,Argopecten purpuratus,no./m3,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2002,1,11,No,No,,,,,,
#389,Diaz 2006,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Descriptive,Shell height,Scallop,Argopecten purpuratus,?m,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2002,1,11,No,No,,,,,,
#389,Diaz 2006,3,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Density,Descriptive,Size (proportion > 170),Scallop,Argopecten purpuratus,%,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2002,1,11,No,No,,,,,,
#389,Diaz 2006,4,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,Cohort study,N/A,N/A,N/A,Abundance,Descriptive,Spat abundance,Scallop,Argopecten purpuratus,no./collector,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2002,1,6,No,No,,,,,,
#389,Diaz 2006,5,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,Cohort study,N/A,N/A,N/A,Size,Descriptive,Spat size,Scallop,Argopecten purpuratus,?m,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2002,1,6,No,No,,,,,,
#377,Silva 2007,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Chlorophyll a concentration,Phytoplankton,N/A,?g/L,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2000,1,26,No,No,,,,,,
#377,Silva 2007,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Phaeopigment concentration,Phytoplankton,N/A,?g/L,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2000,1,26,No,No,,,,,,
#377,Silva 2007,3,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Cell count,Phytoplankton,N/A,cells/mL,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2000,1,26,No,No,,,,,,
#377,Silva 2007,4,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,Cohort study,N/A,N/A,N/A,Abundance,Inferential analysis,Larval abundance,Scallop,Argopecten purpuratus,individuals/m3,Vertical distribution,N/A,N/A,Yes,Non-parametric anova (time),1,0,0,0,1995,1999,4,25,No,No,,,,,,
#377,Silva 2007,5,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,Cohort study,N/A,N/A,N/A,Size,Inferential analysis,Larval shell width,Scallop,Argopecten purpuratus,?m,N/A,N/A,N/A,Yes,Growth equations,1,0,0,0,1995,1999,4,N/A,No,No,,,,,,
#377,Silva 2007,6,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,Cohort study,N/A,N/A,N/A,Abundance,Inferential analysis,Spat abundance,Scallop,Argopecten purpuratus,no./collector,N/A,N/A,N/A,Yes,ANOVA (time),1,0,0,0,1995,1997,2,32,No,No,,,,,,
#377,Silva 2007,7,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,Cohort study,N/A,N/A,N/A,Size,Inferential analysis,Spat size,Scallop,Argopecten purpuratus,mm,N/A,N/A,N/A,Yes,Growth equations,1,0,0,0,1995,1997,2,7,No,No,,,,,,
#151,Beckensteiner 2020,1,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Catch data (SERNAPESCA),N/A,N/A,Catch per unit effort,Descriptive,Catch per unit effort,Loco,Concholepas concholepas,mt/month/diver,N/A,N/A,N/A,No,N/A,0,0,478,0,2015,2015,<1,1,No,No,No OA comparator for Loco,,,,,
#151,Beckensteiner 2020,2,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Catch data (SERNAPESCA),GIS (Google Earth),N/A,Landings,Descriptive,Catch per unit area,Loco,Concholepas concholepas,mt/month/km2,N/A,N/A,N/A,No,N/A,0,0,478,0,2015,2015,<1,1,No,No,,,,,,
#151,Beckensteiner 2020,3,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Catch data (SERNAPESCA),N/A,N/A,Catch per unit effort,Inferential analysis,Catch per unit effort,Keyhole limpet,Fissurella spp ,mt/month/diver,N/A,N/A,N/A,Yes,Nonparametric Wilcoxon (regime),0,196,478,0,2015,2015,<1,1,No,No,,,,,,
#151,Beckensteiner 2020,4,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Catch data (SERNAPESCA),GIS (Google Earth),N/A,Landings,Inferential analysis,Catch per unit area,Keyhole limpet,Fissurella spp,mt/month/km2,N/A,N/A,N/A,Yes,"Nonparametric Wilcoxon (regime), Mixed-effects model (time)",0,196,478,0,2000,2015,15,16,No,No,OLS and elastic net comparisons to assess the impact of TURFs on adjacent areas,,,,,
#151,Beckensteiner 2020,5,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Catch data (SERNAPESCA),N/A,N/A,Catch per unit effort,Inferential analysis,Catch per unit effort,Kelp,N/A,mt/month/collector,N/A,N/A,N/A,Yes,Nonparametric Wilcoxon (regime),0,196,478,0,2015,2015,<1,1,No,No,,,,,,
#151,Beckensteiner 2020,6,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Catch data (SERNAPESCA),GIS (Google Earth),N/A,Landings,Inferential analysis,Catch per unit area,Kelp,N/A,mt/month/km2,N/A,N/A,N/A,Yes,"Nonparametric Wilcoxon (regime), Mixed-effects model (time)",0,196,478,0,2000,2015,15,16,No,No,,,,,,
#151,Beckensteiner 2020,7,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Catch data (SERNAPESCA),N/A,N/A,Catch per unit effort,Inferential analysis,Catch per unit effort,Red sea urchin,Loxechinus albus,mt/month/diver,N/A,N/A,N/A,Yes,Nonparametric Wilcoxon (regime),0,196,478,0,2015,2015,<1,1,No,No,,,,,,
#151,Beckensteiner 2020,8,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Catch data (SERNAPESCA),GIS (Google Earth),N/A,Landings,Inferential analysis,Catch per unit area,Red sea urchin,Loxechinus albus,mt/month/km2,N/A,N/A,N/A,Yes,"Nonparametric Wilcoxon (regime), Mixed-effects model (time)",0,196,478,0,2000,2015,15,16,No,No,,,,,,
#199,Friedlander 2018,1,Environmental,Environmental,Primary,Quantitative,Underwater photography,N/A,N/A,N/A,N/A,N/A,Density,Inferential analysis,Canopy biomass density,Kelp,N/A,kg/m2,N/A,N/A,N/A,Yes,Kruskal-Wallis rank-sum test,1,2,0,0,2016,2017,<1,1,No,No,,,,,,
#199,Friedlander 2018,2,Environmental,Environmental,Primary,Quantitative,Underwater photography,N/A,N/A,N/A,N/A,N/A,Density,Inferential analysis,Stipe density,Kelp,"Macrocystis pyrifera, Lessonia spp",stipes/m2,N/A,N/A,N/A,Yes,Kruskal-Wallis rank-sum test,1,2,0,0,2016,2017,<1,1,No,No,,,,,,
#199,Friedlander 2018,3,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Richness,Inferential analysis,Species richness,Invertebrates,N/A,no. of species,N/A,N/A,N/A,Yes,Kruskal-Wallis rank-sum test,1,2,0,0,2016,2017,<1,1,No,No,,,,,,
#199,Friedlander 2018,4,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Richness,Inferential analysis,Species abundance,Invertebrates,N/A,no. of species/m2,N/A,N/A,N/A,Yes,Kruskal-Wallis rank-sum test,1,2,0,0,2016,2017,<1,1,No,No,,,,,,
#199,Friedlander 2018,5,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Diversity,Inferential analysis,Diversity,Invertebrates,N/A,Shannon-Wiener Index,N/A,N/A,N/A,Yes,Kruskal-Wallis rank-sum test,1,2,0,0,2016,2017,<1,1,No,No,,,,,,
#199,Friedlander 2018,6,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Diversity,Inferential analysis,Evenness,Invertebrates,N/A,Shannon-Weaver Index,N/A,N/A,N/A,Yes,Kruskal-Wallis rank-sum test,1,2,0,0,2016,2017,<1,1,No,No,,,,,,
#199,Friedlander 2018,7,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Inferential analysis,Abundance,Red sea urchin,Loxechinus albus,individuals/m2,N/A,N/A,N/A,Yes,Kruskal-Wallis rank-sum test,1,2,0,0,2016,2017,<1,1,No,No,,,,,,
#199,Friedlander 2018,8,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Inferential analysis,Abundance,Fish,N/A,no. of species/transect,N/A,N/A,N/A,Yes,Kruskal-Wallis rank-sum test,1,2,0,0,2016,2017,<1,1,No,No,,,,,,
#199,Friedlander 2018,9,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Inferential analysis,Abundance,Fish,N/A,individuals/m2,N/A,N/A,N/A,Yes,Kruskal-Wallis rank-sum test,1,2,0,0,2016,2017,<1,1,No,No,,,,,,
#199,Friedlander 2018,10,Environmental,Environmental,Primary,Quantitative,Underwater photography,N/A,N/A,N/A,N/A,N/A,Abundance,Inferential analysis,Benthic cover,Benthic taxa,N/A,%,Depth,N/A,N/A,Yes,Kruskal-Wallis rank-sum test,1,2,0,0,2016,2017,<1,1,No,No,,,,,,
#283,Carcamo 2013,1,Social,Social,Mixed,Qualitative,Interview,Survey,N/A,Official documents,N/A,N/A,User perception,Narrative,Effectiveness of governance,N/A,N/A,N/A,N/A,Fishing Leaders (6),Grounded theory,No,N/A,1,0,0,3,2011,2012,1,1,No,No,,,,,,
#283,Carcamo 2013,2,Social,Social,Mixed,Qualitative,Interview,Survey,N/A,Official documents,N/A,N/A,User perception,Narrative,Stakeholder participation,N/A,N/A,N/A,N/A,Fishing Leaders (6),Grounded theory,No,N/A,1,0,0,3,2011,2012,1,1,No,No,,,,,,
#283,Carcamo 2013,3,Social,Social,Mixed,Qualitative,Interview,Survey,N/A,Official documents,N/A,N/A,User perception,Narrative,Ecological effectiveness,N/A,N/A,N/A,N/A,Fishing Leaders (6),Grounded theory,No,N/A,1,0,0,3,2011,2012,1,1,No,No,,,,,,
#283,Carcamo 2013,4,Social,Social,Mixed,Qualitative,Interview,N/A,N/A,Official documents,N/A,N/A,User perception,Descriptive,Resource use and valuation,N/A,N/A,N/A,N/A,Tourists (50),N/A,No,N/A,1,0,0,3,2012,2012,<1,1,No,No,,,,,,
#255,deJuan 2015,1,Social-environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Landing data,N/A,N/A,Landings,Descriptive,Landings ,Reef fish,N/A,tonnes/year,N/A,N/A,DPSIR framework,No,N/A,0,0,0,3,2000,2011,11,12,No,No,,,,,,
#255,deJuan 2015,2,Social-environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Landing data,N/A,N/A,Landings,Descriptive,Landings ,Red sea urchin,Loxechinus albus,tonnes/year,N/A,N/A,DPSIR framework,No,N/A,0,0,0,1,2000,2011,11,12,No,No,,,,,,
#255,deJuan 2015,3,Social-environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Landing data,N/A,N/A,Landings,Descriptive,Landings ,Kelp,N/A,tonnes/year,N/A,N/A,DPSIR framework,No,N/A,0,0,0,2,2000,2011,11,12,No,No,,,,,,
#255,deJuan 2015,4,Social-environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Landing data,N/A,N/A,Landings,Descriptive,Landings ,Loco,Concholepas concholepas,tonnes/year,N/A,N/A,DPSIR framework,No,N/A,0,0,0,5,2000,2010,10,11,No,No,,,,,,
#255,deJuan 2015,5,Social-environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Landing data,N/A,N/A,Landings,Descriptive,Landings ,Keyhole limpet,Fissurella spp,tonnes/year,N/A,N/A,DPSIR framework,No,N/A,0,0,0,5,2000,2011,11,12,No,No,,,,,,
#255,deJuan 2015,6,Social-environmental,Social,Primary,Quantitative,Questionnaire,N/A,N/A,N/A,N/A,N/A,Landings,Descriptive,Proportion of fishers that catch target species,Loco,Concholepas concholepas,% (of fishers),N/A,Artisanal fishermen (99),DPSIR framework,No,N/A,1,0,0,5,2014,2014,<1,1,No,No,,,,,,
#255,deJuan 2015,7,Social-environmental,Social,Primary,Quantitative,Questionnaire,N/A,N/A,N/A,N/A,N/A,Landings,Descriptive,Proportion of fishers that catch target species,Keyhole limpet,Fissurella spp,% (of fishers),N/A,Artisanal fishermen (99),DPSIR framework,No,N/A,1,0,0,5,2014,2014,<1,1,No,No,,,,,,
#255,deJuan 2015,8,Social-environmental,Social,Primary,Quantitative,Questionnaire,N/A,N/A,N/A,N/A,N/A,Landings,Descriptive,Proportion of fishers that catch target species,Red sea urchin,Loxechinus albus,% (of fishers),N/A,Artisanal fishermen (99),DPSIR framework,No,N/A,1,0,0,5,2014,2014,<1,1,No,No,,,,,,
#255,deJuan 2015,9,Social-environmental,Social,Primary,Quantitative,Questionnaire,N/A,N/A,N/A,N/A,N/A,Landings,Descriptive,Proportion of fishers that catch target species,Kelp,N/A,% (of fishers),N/A,Artisanal fishermen (99),DPSIR framework,No,N/A,1,0,0,5,2014,2014,<1,1,No,No,,,,,,
#255,deJuan 2015,10,Social-environmental,Social,Primary,Quantitative,Questionnaire,N/A,N/A,N/A,N/A,N/A,Landings,Descriptive,Proportion of fishers that catch target species,Reef fish,N/A,% (of fishers),N/A,Artisanal fishermen (99),DPSIR framework,No,N/A,1,0,0,5,2014,2014,<1,1,No,No,,,,,,
#255,deJuan 2015,11,Social-environmental,Social,Primary,Quantitative,Questionnaire,N/A,N/A,N/A,N/A,N/A,User perception,Descriptive,Resource use and valuation ,N/A,N/A,N/A,N/A,"Tourists (602), Residents (300)",DPSIR framework,No,N/A,1,6,0,5,2014,2014,<1,1,No,No,,,,,,
#255,deJuan 2015,12,Social-environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Biomass,Inferential analysis,Biomass,Reef fish,N/A,weight/m2,N/A,N/A,DPSIR framework,Yes,GLMNB,1,6,0,5,2012,2013,1,1,No,No,,,,,,
#255,deJuan 2015,13,Social-environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Richness,Inferential analysis,Species richness,Reef fish,N/A,no. of species/m2,N/A,N/A,DPSIR framework,Yes,Quasipoisson,1,6,0,5,2012,2013,1,1,No,No,,,,,,
#255,deJuan 2015,14,Social-environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Biomass,Inferential analysis,Biomass,Macro-invertebrates,N/A,weight/m2,N/A,N/A,DPSIR framework,Yes,GLMNB,1,6,0,5,2012,2013,1,1,No,No,,,,,,
#255,deJuan 2015,15,Social-environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Richness,Inferential analysis,Species richness,Macro-invertebrates,N/A,no. of species/m2,N/A,N/A,DPSIR framework,Yes,Quasipoisson,1,6,0,5,2012,2013,1,1,No,No,,,,,,
#255,deJuan 2015,16,Social-environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Inferential analysis,Abundance,Invertebrates,N/A,individuals/m2,N/A,N/A,DPSIR framework,Yes,GLMNB,1,6,0,5,2012,2013,1,1,No,No,,,,,,
#255,deJuan 2015,17,Social-environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Richness,Inferential analysis,Richness,Invertebrates,N/A,no. of species/m2,N/A,N/A,DPSIR framework,Yes,Quasipoisson,1,6,0,5,2012,2013,1,1,No,No,,,,,,
#354,Gelcich 2009,1,Social,Social,Primary,Quantitative,Interview,Focus group,Questionnaire,N/A,N/A,N/A,User perception,Narrative,Compliance,N/A,N/A,N/A,Livelihood strategy,"Fishers (143), Fishing union Directorates",N/A,No,N/A,0,0,8,0,2006,2006,<1,1,No,No,Kruskal-Wallace test to assess whether livelihood strategy affects perception,,,,,
#354,Gelcich 2009,2,Social,Social,Primary,Quantitative,Interview,Focus group,Questionnaire,N/A,N/A,N/A,User perception,Narrative,Stakeholder participation,N/A,N/A,N/A,N/A,"Fishers (143), Fishing union Directorates",N/A,No,N/A,0,0,8,0,2006,2006,<1,1,No,No,,,,,,
#354,Gelcich 2009,3,Social,Social,Primary,Quantitative,Interview,Focus group,Questionnaire,N/A,N/A,N/A,User perception,Narrative,Effectiveness of governance,N/A,N/A,N/A,N/A,"Fishers (143), Fishing union Directorates",N/A,No,N/A,0,0,8,0,2006,2006,<1,1,No,No,,,,,,
#354,Gelcich 2009,4,Social,Social,Primary,Quantitative,Interview,Focus group,Questionnaire,N/A,N/A,N/A,User perception,Narrative,Ecological effectiveness,N/A,N/A,N/A,N/A,"Fishers (143), Fishing union Directorates",N/A,No,N/A,0,0,8,0,2006,2006,<1,1,No,No,,,,,,
#354,Gelcich 2009,5,Social,Social,Primary,Quantitative,Interview,Focus group,Questionnaire,N/A,N/A,N/A,User perception,Narrative,Cultural identity impacts,N/A,N/A,N/A,N/A,"Fishers (143), Fishing union Directorates",N/A,No,N/A,0,0,8,0,2006,2006,<1,1,No,No,,,,,,
#375,Thompson 2008,1,Social,Social,Secondary,Qualitative,N/A,N/A,N/A,Management plan,N/A,N/A,Management,Descriptive,Effectiveness of governance,N/A,N/A,N/A,N/A,N/A,Gap analysis (ISO 14001 criteria),No,N/A,1,0,0,0,2006,2006,<1,1,No,No,,,,,,
#375,Thompson 2008,2,Social,Social,Secondary,Qualitative,N/A,N/A,N/A,Management plan,N/A,N/A,Management,Descriptive,Stakeholder participation,N/A,N/A,N/A,N/A,N/A,Gap analysis (ISO 14001 criteria),No,N/A,1,0,0,0,2006,2006,<1,1,No,No,,,,,,
#121,Aburto 2020,1,Social,Social,Mixed,Qualitative,Interview,Participant observation,N/A,Meeting minutes,Historical documentation,N/A,User perception,Narrative,Effectiveness of governance,N/A,N/A,N/A,N/A,"Fishers, Leaders of fisher's organisations (4), Commissioners (CODEIPA) (3), Indigenous community leader (1), Leader of sport divers organisation (1), Government official (SERNAPESCA), other (3)",Ocean grabbing framework,No,N/A,1,0,0,0,2010,2019,9,2,No,No,,,,,,
#121,Aburto 2020,2,Social,Social,Mixed,Qualitative,Interview,Participant observation,N/A,Meeting minutes,Historical documentation,N/A,User perception,Narrative,Stakeholder participation,N/A,N/A,N/A,N/A,"Fishers, Leaders of fisher's organisations (4), Commissioners (CODEIPA) (3), Indigenous community leader (1), Leader of sport divers organisation (1), Government official (SERNAPESCA), other (3)",Ocean grabbing framework,No,N/A,1,0,0,0,2010,2019,9,2,No,No,,,,,,
#121,Aburto 2020,3,Social,Social,Mixed,Qualitative,Interview,Participant observation,N/A,Meeting minutes,Historical documentation,N/A,User perception,Narrative,Cultural identity impacts,N/A,N/A,N/A,N/A,"Fishers, Leaders of fisher's organisations (4), Commissioners (CODEIPA) (3), Indigenous community leader (1), Leader of sport divers organisation (1), Government official (SERNAPESCA) (1), other (3)",Ocean grabbing framework,No,N/A,1,0,0,0,2010,2019,9,2,No,No,,,,,,
#121,Aburto 2020,4,Social,Social,Mixed,Qualitative,Interview,Participant observation,N/A,Meeting minutes,Historical documentation,N/A,User perception,Narrative,Wellbeing impacts,N/A,N/A,N/A,N/A,"Fishers, Leaders of fisher's organisations (4), Commissioners (CODEIPA) (3), Indigenous community leader (1), Leader of sport divers organisation (1), Government official (SERNAPESCA), other (3)",Ocean grabbing framework,No,N/A,1,0,0,0,2010,2019,9,2,No,No,,,,,,
#121,Aburto 2020,5,Social,Social,Mixed,Qualitative,Interview,Participant observation,N/A,Meeting minutes,Historical documentation,N/A,User perception,Narrative,Compliance,N/A,N/A,N/A,N/A,"Fishers, Leaders of fisher's organisations (4), Commissioners (CODEIPA) (3), Indigenous community leader (1), Leader of sport divers organisation (1), Government official (SERNAPESCA), other (3)",Ocean grabbing framework,No,N/A,1,0,0,0,2010,2019,9,2,No,No,,,,,,
#121,Aburto 2020,6,Social,Social,Mixed,Qualitative,Interview,Participant observation,N/A,Meeting minutes,Historical documentation,N/A,User perception,Narrative,Ecological effectiveness,N/A,N/A,N/A,N/A,"Fishers, Leaders of fisher's organisations (4), Commissioners (CODEIPA) (3), Indigenous community leader (1), Leader of sport divers organisation (1), Government official (SERNAPESCA), other (3)",Ocean grabbing framework,No,N/A,1,0,0,0,2010,2019,9,2,No,No,,,,,,
#280,Aburto 2014,1,Social-environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Landing data,N/A,N/A,Landings,Descriptive,Landings,Surf clam,N/A,tonnes/month,N/A,N/A,N/A,No,N/A,0,0,1,0,1985,2010,25,N/A,Yes,No,,,,,,
#280,Aburto 2014,2,Social-environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Descriptive,Density,Surf clam,N/A,individuals/m2,N/A,N/A,N/A,No,N/A,0,0,1,0,1985,2010,25,9,No,No,,,,,,
#280,Aburto 2014,3,Social-environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Descriptive,Abundance,Surf clam,N/A,No. of individuals,N/A,N/A,N/A,No,N/A,0,0,1,0,1985,2010,25,9,No,No,,,,,,
#280,Aburto 2014,4,Social-environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Size,Descriptive,Proportion above Minimum Catch Length,Surf clam,N/A,%,N/A,N/A,N/A,No,N/A,0,0,1,0,1985,2010,25,9,No,No,,,,,,
#280,Aburto 2014,5,Social-environmental,Economic,Mixed,Quantitative,Participant observation,N/A,N/A,Landing data,N/A,N/A,Catch per unit effort,Descriptive,Catch effort,N/A,N/A,No. of fishers,N/A,N/A,N/A,No,N/A,0,0,1,0,1985,2010,25,N/A,Yes,No,,,,,,
#280,Aburto 2014,6,Social-environmental,Social,Mixed,Qualitative,Participant observation,N/A,N/A,Landing data,Historical documents,N/A,Management,Narrative,Effectiveness of governance,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,0,0,1,0,1985,2010,25,N/A,Yes,No,,,,,,
